code	compartment	contamination	cont.comp	nem	col	ver	diversity_status	treatment	block	fw_aerial	dw_aerial	dw_root	biomass	RSR	height	branch	phe.b	phe.r	phe	phe.total	pah-rhd-gp.b	pah-rhd-gp.r	pah-rhd-gp.c	pah-rhd-gn.b	pah-rhd-gn.r	pah-rhd-gn.c	gn.copies.g.soil	gp.copies.g.soil	pot number
PHE_0_1_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	0	O	PHE_O	1	26.83	7.918	1.805	9.723	0.228	85	13	7.44	1.34	1.34	8.78	7800791	5012698		434782609	269682540		269682540	5012698	9
PHE_C_1_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	0	C	PHE_C	1	22.235	6.768	1.044	7.812	0.154	57	7	1.37	1.29	1.29	2.66	4043028	18432000		91649402	268800000		268800000	18432000	10
PHE_E_1_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	1	E	PHE_E	1	40.7	12.229	1.628	13.857	0.133	94	8	12.27	1.40	1.40	13.67	13928405	8056225	2027200	569182879	497028112	102608000	497028112	8056225	11
PHE_N_1_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	0	N	PHE_N	1	42.81	13.361	1.494	14.855	0.112	117	4		1.97	1.97	1.97	8104762	7318577		232857143	174229249		174229249	7318577	12
PHE_CE_1_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	1	CE	PHE_CE	1	46.375	14.484	2.27	16.754	0.157	94	9	1.44	1.85	1.85	3.29	26891566	13423810	58776	132819277	732380952	15388060	732380952	13423810	13
PHE_CN_1_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	0	CN	PHE_CN	1	36.17	14.337	1.578	15.915	0.110	97	5	3.32	1.64	1.64	4.96	34032000	14090476		308800000	702063492		702063492	14090476	14
PHE_EN_1_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	1	EN	PHE_EN	1	47.19	15.96	1.221	17.181	0.077	94	8	1.82	1.70	1.70	3.52	14698795	7003175	1467865	97188755	1189365079	18486891	1189365079	7003175	15
PHE_CEN_1_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	1	CEN	PHE_CEN	1	37.317	10.815	1.712	12.527	0.158	59	12	1.71	1.73	1.73	3.44	33466135	2531225		585019920	864980237		864980237	2531225	16
0_0_2_Rhizo	rhizo	control	con.rhi	0	0	0	O	0_O	2	36.415	13.788	0.902	14.69	0.065	106	4	0	0	0	0.00	17795276	1880000		64377953	455680000		455680000	1880000	17
0_C_2_Rhizo	rhizo	control	con.rhi	0	1	0	C	0_C	2	44.015	13.033	2.376	15.409	0.182	80	13	0	0	0	0.00	18544000	4240316		52448000	113913043		113913043	4240316	18
0_E_2_Rhizo	rhizo	control	con.rhi	0	0	1	E	0_E	2	43.7	13.939	1.655	15.594	0.119	91	8	0	0	0	0.00	19873518	2430888		46213439	259613900		259613900	2430888	19
0_N_2_Rhizo	rhizo	control	con.rhi	1	0	0	N	0_N	2	33.505	9.539	1.307	10.846	0.137	89	6	0	0	0	0.00	5948679	1912782		13109434	72736842		72736842	1912782	20
0_CE_2_Rhizo	rhizo	control	con.rhi	0	1	1	CE	0_CE	2	44	13.038	1.668	14.706	0.128	93.5	8	0	0	0	0.00	9750400	1458308	5243774	47728000	150307692	45600000	150307692	1458308	21
0_CN_2_Rhizo	rhizo	control	con.rhi	1	1	0	CN	0_CN	2	54.5	17.439	2.141	19.58	0.123	85.5	11	0	0	0	0.00	14454962	12085171		40305344	155133080		155133080	12085171	22
0_EN_2_Rhizo	rhizo	control	con.rhi	1	0	1	EN	0_EN	2	45.51	12.731	1.437	14.168	0.113	88	10	0	0	0	0.00	15126400	4676190		41664000	213492063		213492063	4676190	23
0_CEN_2_Rhizo	rhizo	control	con.rhi	1	1	1	CEN	0_CEN	2	47.14	13.38	1.564	14.944	0.117	102	10	0	0	0	0.00	9081369	5958519		26965779	227111111		227111111	5958519	24
PHE_0_2_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	0	O	PHE_O	2	23.42	6.248	0.31	6.558	0.050	71	5	1.76	1.59	1.59	3.34	6449123	15469534		53614035	1015197133		1015197133	15469534	25
PHE_C_2_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	0	C	PHE_C	2	36.86	12.213	1.382	13.595	0.113	85	7	1.30	0.89	0.89	2.19	14165462	12576563		37911647	366093750		366093750	12576563	26
PHE_E_2_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	1	E	PHE_E	2	43.055	12.97	1.141	14.111	0.088	80.5	7	1.32	1.34	1.34	2.66	8617899	17515625	16325926	71066148	602968750	102355556	602968750	17515625	27
PHE_N_2_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	0	N	PHE_N	2	15.3	4.469	0.82	5.289	0.183	50	7	1.07	1.38	1.38	2.45	9390400	8517188		48592000	1047031250		1047031250	8517188	28
PHE_CE_2_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	1	CE	PHE_CE	2	32	9.329	1.036	10.365	0.111	76	7	1.76	1.26	1.26	3.02	21284133	5601465	7677220	96457565	488791209	75166023	488791209	5601465	29
PHE_CN_2_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	0	CN	PHE_CN	2	37.875	10.638	1.183	11.821	0.111	89	8	1.60	1.20	1.20	2.80	12442424	2494118		57833333	674666667		674666667	2494118	30
PHE_EN_2_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	1	EN	PHE_EN	2	40.52	11.715	1.278	12.993	0.109	93	8	1.26	1.69	1.69	2.95	1787302	11986957	12569742	145603175	853188406	44693727	853188406	11986957	31
PHE_CEN_2_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	1	CEN	PHE_CEN	2	39.079	11.329	1.414	12.743	0.125	107	7	1.25	1.30	1.30	2.56	3015172	4648327	621642	53765517	256802974	14267164	256802974	4648327	32
0_0_3_Rhizo	rhizo	control	con.rhi	0	0	0	O	0_O	3	44.11	15.873	2.667	18.54	0.168	98	8	0	0	0	0.00	2595200	2450996		22496000	547729084		547729084	2450996	33
0_C_3_Rhizo	rhizo	control	con.rhi	0	1	0	C	0_C	3	39.475	14.516	1.757	16.273	0.121	102	6	0	0	0	0.00	1017849	7675200		20956175	144400000		144400000	7675200	34
0_E_3_Rhizo	rhizo	control	con.rhi	0	0	1	E	0_E	3	48.569	16.218	2.562	18.78	0.158	95	9	0	0	0	0.00	7176096	10420155	666370	22868526	302015504		302015504	10420155	35
0_N_3_Rhizo	rhizo	control	con.rhi	1	0	0	N	0_N	3	41.321	15.09	2.252	17.342	0.149	84	9	0	0	0	0.00	6257143	7920635		26412698	139888889		139888889	7920635	36
0_CE_3_Rhizo	rhizo	control	con.rhi	0	1	1	CE	0_CE	3	51.248	18.209	2.95	21.159	0.162	95	9	0	0	0	0.00	11650794	10514741		23539683	315697211		315697211	10514741	37
0_CN_3_Rhizo	rhizo	control	con.rhi	1	1	0	CN	0_CN	3	46.605	16.116	2.667	18.783	0.165	109	5	0	0	0	0.00	55762	10145600			284640000		284640000	10145600	38
0_EN_3_Rhizo	rhizo	control	con.rhi	1	0	1	EN	0_EN	3	46.677	15.459	2.413	17.872	0.156	100	7	0	0	0	0.00	5915953	6493281		18988327	219604743		219604743	6493281	39
0_CEN_3_Rhizo	rhizo	control	con.rhi	1	1	1	CEN	0_CEN	3	45.321	18.026	2.777	20.803	0.154	85	10	0	0	0	0.00	813490	11885039		6916078	389291339		389291339	11885039	40
PHE_0_3_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	0	O	PHE_O	3	28.125	10.659	1.681	12.34	0.158	80	5	1.48	1.33	1.33	2.81	19079365	12685039		49365079	411338583		411338583	12685039	41
PHE_C_3_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	0	C	PHE_C	3	28.959	9.903	1.951	11.854	0.197	82	4	1.22	1.88	1.88	3.10	10178486	10493281		88031873	192885375		192885375	10493281	42
PHE_E_3_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	1	E	PHE_E	3	48.119	16.119	2.289	18.408	0.142	101	11	1.18	1.39	1.39	2.57	26476190	14098413	5984556	56079365	437619048	41451737	437619048	14098413	43
PHE_N_3_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	0	N	PHE_N	3	24.928	7.322	1.631	8.953	0.223	75	6	1.11	1.97	1.97	3.08	1960474	9050794		17723320	657301587		657301587	9050794	44
PHE_CE_3_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	1	CE	PHE_CE	3	42.364	17.617	2.435	20.052	0.138	95	7	1.39	1.31	1.31	2.70		21984000			474880000		474880000	21984000	45
PHE_CN_3_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	0	CN	PHE_CN	3	39.909	14.311	2.241	16.552	0.157	85	9	1.37	1.25	1.25	2.62	53523810	6651969		101047619	475905512		475905512	6651969	46
PHE_EN_3_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	1	EN	PHE_EN	3	29.685	10.837	1.389	12.226	0.128	77	8	1.16	1.47	1.47	2.63	7018327	25832669	2796875	12843028	546454183	134359375	546454183	25832669	47
PHE_CEN_3_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	1	CEN	PHE_CEN	3	25.292	9.903	1.844	11.747	0.186	93	8	1.09	1.33	1.33	2.41	3476190	3395200	1136917	52317460	276960000	18687747	276960000	3395200	48
0_0_4_Rhizo	rhizo	control	con.rhi	0	0	0	O	0_O	4	24.91	9.027	1.536	10.563	0.170	97	5	0	0	0	0.00	8939068	450364		44387097	48728745		48728745	450364	49
0_C_4_Rhizo	rhizo	control	con.rhi	0	1	0	C	0_C	4	31.674	11.835	1.584	13.419	0.134	90	7	0	0	0	0.00	18850746	6504280		63492537	303968872		303968872	6504280	50
0_E_4_Rhizo	rhizo	control	con.rhi	0	0	1	E	0_E	4	42.906	16.263	2.082	18.345	0.128	97	8	0	0	0	0.00	2550916	11924898	13189630	17523810	415183673	76725926	415183673	11924898	51
0_N_4_Rhizo	rhizo	control	con.rhi	1	0	0	N	0_N	4	32.365	11.086	1.335	12.421	0.120	92	9	0	0	0	0.00	8625806	2220635		62758065	129968254		129968254	2220635	52
0_CE_4_Rhizo	rhizo	control	con.rhi	0	1	1	CE	0_CE	4	27.475	8.985	1.373	10.358	0.153	78	7	0	0	0	0.00	1706870	3643333		29847328	139766667		139766667	3643333	53
0_CN_4_Rhizo	rhizo	control	con.rhi	1	1	0	CN	0_CN	4	16.128	6.122	0.262	6.384	0.043	86	7	0	0	0	0.00	7493023	3343548		31705426	277419355		277419355	3343548	54
0_EN_4_Rhizo	rhizo	control	con.rhi	1	0	1	EN	0_EN	4	28.261	10.263	1.84	12.103	0.179	84	7	0	0	0	0.00	2400000	2603861	26606061	6337546	241235521	120606061	241235521	2603861	55
0_CEN_4_Rhizo	rhizo	control	con.rhi	1	1	1	CEN	0_CEN	4	40.109	15.212	1.53	16.742	0.101	94	10	0	0	0	0.00	9344314	5986154		46572549	177076923		177076923	5986154	56
PHE_0_4_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	0	O	PHE_O	4	16.72	6.33	1.568	7.898	0.248	75	6	1.37	2.10	2.10	3.47	2770526	3878462		22666667	676923077		676923077	3878462	57
PHE_C_4_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	0	C	PHE_C	4	31.342	11.783	1.693	13.476	0.144	84	8	2.11	1.60	1.60	3.71	14111027	5584615		35193916	515230769		515230769	5584615	58
PHE_E_4_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	1	E	PHE_E	4	25.18	9.532	1.032	10.564	0.108	94	9	1.14	1.88	1.88	3.02	9910769	7132601		23600000	842930403		842930403	7132601	59
PHE_N_4_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	0	N	PHE_N	4	30.335	10.646	1.515	12.161	0.142	74	8	1.60	1.42	1.42	3.02	2076336	10643333		17083969	377166667		377166667	10643333	60
PHE_CE_4_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	1	CE	PHE_CE	4	35.973	12.251	1.818	14.069	0.148	70	11	1.27	1.73	1.73	3.00	7015020	4921212	31407407	57818182	454090909	54281481	454090909	4921212	61
PHE_CN_4_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	0	CN	PHE_CN	4	19.167	7.824	1.367	9.191	0.175	86	5	1.27	2.22	2.22	3.49	8766534	7838095		26677291	803174603		803174603	7838095	62
PHE_EN_4_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	1	EN	PHE_EN	4	35.954	11.899	1.508	13.407	0.127	88	14	1.06	3.44	3.44	4.50	21147410	8114286	1600000	49800797	886714286	30323077	886714286	8114286	63
PHE_CEN_4_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	1	CEN	PHE_CEN	4	52.499	16.991	1.951	18.942	0.115	90	15	1.21	1.65	1.65	2.86	3495971	4882759		109919414	348045977		348045977	4882759	64
0_0_5_Rhizo	rhizo	control	con.rhi	0	0	0	O	0_O	5	34.908	12.619	1.867	14.486	0.148	90	12	0	0	0	0.00	7703175	3946667		22476190	253333333		253333333	3946667	65
0_C_5_Rhizo	rhizo	control	con.rhi	0	1	0	C	0_C	5	48.856	18.924	2.298	21.222	0.121	95	10	0	0	0	0.00	4085496	3363768		18076336	211884058		211884058	3363768	66
0_E_5_Rhizo	rhizo	control	con.rhi	0	0	1	E	0_E	5	36.104	12.897	1.828	14.725	0.142	85	9	0	0	0	0.00	2819188	5376190		11086347	123714286		123714286	5376190	67
0_N_5_Rhizo	rhizo	control	con.rhi	1	0	0	N	0_N	5	32.223	11.058	1.699	12.757	0.154	84	8	0	0	0	0.00	5595181	6639357		47662651	267148594		267148594	6639357	68
0_CE_5_Rhizo	rhizo	control	con.rhi	0	1	1	CE	0_CE	5	37.721	12.641	1.936	14.577	0.153	90	10	0	0	0	0.00	3106719	12527757		19320158	489125475		489125475	12527757	69
0_CN_5_Rhizo	rhizo	control	con.rhi	1	1	0	CN	0_CN	5	46.825	15.749	2.035	17.784	0.129	95	9	0	0	0	0.00	12807692	7493333		61138462	297833333		297833333	7493333	70
0_EN_5_Rhizo	rhizo	control	con.rhi	1	0	1	EN	0_EN	5	39.99	14.153	2.165	16.318	0.153	107	7	0	0	0	0.00	11098868	15845418	14730769	38913208	545179283	42153846	545179283	15845418	71
0_CEN_5_Rhizo	rhizo	control	con.rhi	1	1	1	CEN	0_CEN	5	32.304	9.806	1.272	11.078	0.130	90	10	0	0	0	0.00	10670866	3600000	10701158	57685039	215905512	68710425	215905512	3600000	72
PHE_0_5_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	0	O	PHE_O	5	26.695	9.506	2.086	11.592	0.219	73	6	1.73	1.23	1.23	2.96	12502811	4207171		4388755020	375298805		375298805	4207171	73
PHE_C_5_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	0	C	PHE_C	5	32.539	11.147	1.698	12.845	0.152	98	7	1.19	1.44	1.44	2.63	14593651	9635060		49507937	427888446		427888446	9635060	74
PHE_E_5_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	1	E	PHE_E	5	33.884	11.557	1.29	12.847	0.112	90	8	1.37	1.63	1.63	3.00	40882129	8445926		150676806	718814815		718814815	8445926	75
PHE_N_5_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	0	N	PHE_N	5	11.053	4.188	1.515	5.703	0.362	76	10	1.34	2.20	2.20	3.54	52575540	5416000		154820144	449440000		449440000	5416000	76
PHE_CE_5_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	1	CE	PHE_CE	5	39.305	13.528	1.96	15.488	0.145	89	7	1.53	1.08	1.08	2.61	58728682	6703077	33786561	94868217	203230769	109596838	203230769	6703077	77
PHE_CN_5_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	0	CN	PHE_CN	5	25.543	9.568	1.438	11.006	0.150	75	7	1.47	1.53	1.53	3.00	22208955	8277778		54552239	1072063492		1072063492	8277778	78
PHE_EN_5_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	1	EN	PHE_EN	5	38.847	12.293	1.207	13.5	0.098	93	10	1.81	3.99	3.99	5.80	20330709	8824096	8323137	56692913	183453815		183453815	8824096	79
PHE_CEN_5_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	1	CEN	PHE_CEN	5	65.361	21.045	1.299	22.344	0.062	99	9	1.31	1.69	1.69	3.00	36960000	14747200		47648000	407680000		407680000	14747200	80
0_0_6_Rhizo	rhizo	control	con.rhi	0	0	0	O	0_O	6	54.075	20.953	3.871	24.824	0.185	102	12	0	0	0	0.00	29968254	11680000		47111111	504754717		504754717	11680000	81
0_C_6_Rhizo	rhizo	control	con.rhi	0	1	0	C	0_C	6	45.937	16.614	3.13	19.744	0.188	99	10	0	0	0	0.00	16988417	12889231		56725869	296000000		296000000	12889231	82
0_E_6_Rhizo	rhizo	control	con.rhi	0	0	1	E	0_E	6	38.692	11.733	1.617	13.35	0.138	85	12	0	0	0	0.00	4807463	9771642		36820896	314029851	5196923	314029851	9771642	83
0_N_6_Rhizo	rhizo	control	con.rhi	1	0	0	N	0_N	6	46.108	16.667	2.292	18.959	0.138	92	8	0	0	0	0.00	18046154	13066129		103753846	224193548		224193548	13066129	84
0_CE_6_Rhizo	rhizo	control	con.rhi	0	1	1	CE	0_CE	6	60.793	23.34	4.326	27.666	0.185	94	9	0	0	0	0.00	2324800	3043939		22304000	219393939		219393939	3043939	85
0_CN_6_Rhizo	rhizo	control	con.rhi	1	1	0	CN	0_CN	6	45.355	16.849	3.332	20.181	0.198	100	8	0	0	0	0.00	2096063	5463035		28614173	297431907		297431907	5463035	86
0_EN_6_Rhizo	rhizo	control	con.rhi	1	0	1	EN	0_EN	6	63.366	23.764	2.146	25.91	0.090	116	8	0	0	0	0.00	17416342	13045783		66412451	453654618		453654618	13045783	87
0_CEN_6_Rhizo	rhizo	control	con.rhi	1	1	1	CEN	0_CEN	6	83.345	29.247	3.172	32.419	0.108	115	13	0	0	0	0.00	14541365	4200000		68497992	374603175		374603175	4200000	88
PHE_0_6_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	0	O	PHE_O	6	23.207	7.959	1.948	9.907	0.245	73	5	1.37	1.76	1.76	3.12	18593750	21669291		101609375	558267717		558267717	21669291	89
PHE_C_6_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	0	C	PHE_C	6	34.14	11.471	1.193	12.664	0.104	84	7	1.38	2.17	2.17	3.54	8923077	10334661		63246154	484621514		484621514	10334661	90
PHE_E_6_Rhizo	rhizo	phenanthrene	phe.rhi	0	0	1	E	PHE_E	6	48.234	17.308	2.596	19.904	0.150	95	12	1.36	1.97	1.97	3.33	48752000	7066148		81264000	542879377	8614449	542879377	7066148	91
PHE_N_6_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	0	N	PHE_N	6	54.711	18.412	3.025	21.437	0.164	98	8	1.57	1.30	1.30	2.87	12646400	19468750		88576000	542812500		542812500	19468750	92
PHE_CE_6_Rhizo	rhizo	phenanthrene	phe.rhi	0	1	1	CE	PHE_CE	6	43.3	14.178	2.167	16.345	0.153	102	9	1.74	1.35	1.35	3.09	25265625	19079245		74171875	621132075		621132075	19079245	93
PHE_CN_6_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	0	CN	PHE_CN	6	26.381	8.545	1.028	9.573	0.120	90	7	1.30	2.57	2.57	3.87	4933333	7794796		139969349	1565799257		1565799257	7794796	94
PHE_EN_6_Rhizo	rhizo	phenanthrene	phe.rhi	1	0	1	EN	PHE_EN	6	27.039	9.466	1.171	10.637	0.124	80	5	1.24	2.10	2.10	3.34	9784252	14712121		57385827	595151515		595151515	14712121	95
PHE_CEN_6_Rhizo	rhizo	phenanthrene	phe.rhi	1	1	1	CEN	PHE_CEN	6	47.509	16.353	1.741	18.094	0.106	94	10	1.32	1.37	1.37	2.69	692749	13356175	12965779	48956175	533545817	29916350	533545817	13356175	96
