code	compartment	contamination	cont.comp	nem	col	ver	diversity_status	treatment	block	fw_aerial	dw_aerial	dw_root	biomass	RSR	height	branch	phe.b	phe.r	phe	phe.total	pah-rhd-gp.b	pah-rhd-gp.r	pah-rhd-gp.c	pah-rhd-gn.b	pah-rhd-gn.r	pah-rhd-gn.c	gn.copies.g.soil	gp.copies.g.soil	pot number
0_0_4_Bulk	bulk	control	con.bul	0	0	0	O	0_O	4	24.91	9.027	1.536	10.563	0.170	97	5	0	0	0	0.00	8939068	450364		44387097	48728745		44387097	8939068	49
0_C_4_Bulk	bulk	control	con.bul	0	1	0	C	0_C	4	31.674	11.835	1.584	13.419	0.134	90	7	0	0	0	0.00	18850746	6504280		63492537	303968872		63492537	18850746	50
0_E_4_Bulk	bulk	control	con.bul	0	0	1	E	0_E	4	42.906	16.263	2.082	18.345	0.128	97	8	0	0	0	0.00	2550916	11924898	13189630	17523810	415183673	76725926	17523810	2550916	51
0_N_4_Bulk	bulk	control	con.bul	1	0	0	N	0_N	4	32.365	11.086	1.335	12.421	0.120	92	9	0	0	0	0.00	8625806	2220635		62758065	129968254		62758065	8625806	52
0_CE_4_Bulk	bulk	control	con.bul	0	1	1	CE	0_CE	4	27.475	8.985	1.373	10.358	0.153	78	7	0	0	0	0.00	1706870	3643333		29847328	139766667		29847328	1706870	53
0_CN_4_Bulk	bulk	control	con.bul	1	1	0	CN	0_CN	4	16.128	6.122	0.262	6.384	0.043	86	7	0	0	0	0.00	7493023	3343548		31705426	277419355		31705426	7493023	54
0_EN_4_Bulk	bulk	control	con.bul	1	0	1	EN	0_EN	4	28.261	10.263	1.84	12.103	0.179	84	7	0	0	0	0.00	2400000	2603861	26606061	6337546	241235521	120606061	6337546	2400000	55
0_CEN_4_Bulk	bulk	control	con.bul	1	1	1	CEN	0_CEN	4	40.109	15.212	1.53	16.742	0.101	94	10	0	0	0	0.00	9344314	5986154		46572549	177076923		46572549	9344314	56
PHE_0_4_Bulk	bulk	phenanthrene	phe.bul	0	0	0	O	PHE_O	4	16.72	6.33	1.568	7.898	0.248	75	6	1.37	2.10	1.37	3.47	2770526	3878462		22666667	676923077		22666667	2770526	57
PHE_C_4_Bulk	bulk	phenanthrene	phe.bul	0	1	0	C	PHE_C	4	31.342	11.783	1.693	13.476	0.144	84	8	2.11	1.60	2.11	3.71	14111027	5584615		35193916	515230769		35193916	14111027	58
PHE_E_4_Bulk	bulk	phenanthrene	phe.bul	0	0	1	E	PHE_E	4	25.18	9.532	1.032	10.564	0.108	94	9	1.14	1.88	1.14	3.02	9910769	7132601		23600000	842930403		23600000	9910769	59
PHE_N_4_Bulk	bulk	phenanthrene	phe.bul	1	0	0	N	PHE_N	4	30.335	10.646	1.515	12.161	0.142	74	8	1.60	1.42	1.60	3.02	2076336	10643333		17083969	377166667		17083969	2076336	60
PHE_CE_4_Bulk	bulk	phenanthrene	phe.bul	0	1	1	CE	PHE_CE	4	35.973	12.251	1.818	14.069	0.148	70	11	1.27	1.73	1.27	3.00	7015020	4921212	31407407	57818182	454090909	54281481	57818182	7015020	61
PHE_CN_4_Bulk	bulk	phenanthrene	phe.bul	1	1	0	CN	PHE_CN	4	19.167	7.824	1.367	9.191	0.175	86	5	1.27	2.22	1.27	3.49	8766534	7838095		26677291	803174603		26677291	8766534	62
PHE_EN_4_Bulk	bulk	phenanthrene	phe.bul	1	0	1	EN	PHE_EN	4	35.954	11.899	1.508	13.407	0.127	88	14	1.06	3.44	1.06	4.50	21147410	8114286	1600000	49800797	886714286	30323077	49800797	21147410	63
