Taxon	0.0_1_Bulk	0.0_1_Rhizo	0.0_2_Bulk	0.0_2_Rhizo	0.0_3_Bulk	0.0_3_Rhizo	0.0_4_Bulk	0.0_4_Rhizo	0.0_5_Bulk	0.0_5_Rhizo	0.0_6_Bulk	0.0_6_Rhizo	0.CEN_1_Bulk	0.CEN_1_Rhizo	0.CEN_2_Bulk	0.CEN_2_Rhizo	0.CEN_3_Bulk	0.CEN_3_Rhizo	0.CEN_4_Bulk	0.CEN_4_Rhizo	0.CEN_5_Bulk	0.CEN_5_Rhizo	0.CEN_6_Bulk	0.CEN_6_Rhizo	0.CE_1_Bulk	0.CE_1_Rhizo	0.CE_2_Bulk	0.CE_2_Rhizo	0.CE_3_Bulk	0.CE_3_Rhizo	0.CE_4_Bulk	0.CE_4_Rhizo	0.CE_5_Bulk	0.CE_5_Rhizo	0.CE_6_Bulk	0.CE_6_Rhizo	0.CN_1_Bulk	0.CN_1_Rhizo	0.CN_2_Bulk	0.CN_2_Rhizo	0.CN_3_Bulk	0.CN_3_Rhizo	0.CN_4_Bulk	0.CN_4_Rhizo	0.CN_5_Bulk	0.CN_5_Rhizo	0.CN_6_Bulk	0.CN_6_Rhizo	0.C_1_Bulk	0.C_1_Rhizo	0.C_2_Bulk	0.C_2_Rhizo	0.C_3_Bulk	0.C_3_Rhizo	0.C_4_Bulk	0.C_4_Rhizo	0.C_5_Bulk	0.C_5_Rhizo	0.C_6_Bulk	0.C_6_Rhizo	0.EN_1_Bulk	0.EN_2_Bulk	0.EN_2_Rhizo	0.EN_3_Bulk	0.EN_3_Rhizo	0.EN_4_Bulk	0.EN_4_Rhizo	0.EN_5_Bulk	0.EN_5_Rhizo	0.EN_6_Bulk	0.EN_6_Rhizo	0.E_1_Bulk	0.E_1_Rhizo	0.E_2_Bulk	0.E_2_Rhizo	0.E_3_Bulk	0.E_3_Rhizo	0.E_4_Bulk	0.E_4_Rhizo	0.E_5_Bulk	0.E_5_Rhizo	0.E_6_Bulk	0.E_6_Rhizo	0.N_1_Bulk	0.N_1_Rhizo	0.N_2_Bulk	0.N_2_Rhizo	0.N_3_Bulk	0.N_3_Rhizo	0.N_4_Bulk	0.N_4_Rhizo	0.N_5_Bulk	0.N_5_Rhizo	0.N_6_Bulk	0.N_6_Rhizo	PHE.0_1_Bulk	PHE.0_1_Rhizo	PHE.0_2_Bulk	PHE.0_2_Rhizo	PHE.0_3_Bulk	PHE.0_3_Rhizo	PHE.0_4_Bulk	PHE.0_4_Rhizo	PHE.0_5_Bulk	PHE.0_5_Rhizo	PHE.0_6_Bulk	PHE.0_6_Rhizo	PHE.CEN_1_Bulk	PHE.CEN_1_Rhizo	PHE.CEN_2_Bulk	PHE.CEN_2_Rhizo	PHE.CEN_3_Bulk	PHE.CEN_3_Rhizo	PHE.CEN_4_Bulk	PHE.CEN_4_Rhizo	PHE.CEN_5_Bulk	PHE.CEN_5_Rhizo	PHE.CEN_6_Bulk	PHE.CEN_6_Rhizo	PHE.CE_1_Bulk	PHE.CE_1_Rhizo	PHE.CE_2_Bulk	PHE.CE_2_Rhizo	PHE.CE_3_Bulk	PHE.CE_3_Rhizo	PHE.CE_4_Bulk	PHE.CE_4_Rhizo	PHE.CE_5_Bulk	PHE.CE_5_Rhizo	PHE.CE_6_Bulk	PHE.CE_6_Rhizo	PHE.CN_1_Bulk	PHE.CN_1_Rhizo	PHE.CN_2_Bulk	PHE.CN_2_Rhizo	PHE.CN_3_Bulk	PHE.CN_3_Rhizo	PHE.CN_4_Bulk	PHE.CN_4_Rhizo	PHE.CN_5_Bulk	PHE.CN_5_Rhizo	PHE.CN_6_Bulk	PHE.CN_6_Rhizo	PHE.C_1_Bulk	PHE.C_1_Rhizo	PHE.C_2_Bulk	PHE.C_2_Rhizo	PHE.C_3_Bulk	PHE.C_3_Rhizo	PHE.C_4_Bulk	PHE.C_4_Rhizo	PHE.C_5_Bulk	PHE.C_5_Rhizo	PHE.C_6_Bulk	PHE.C_6_Rhizo	PHE.EN_1_Bulk	PHE.EN_1_Rhizo	PHE.EN_2_Bulk	PHE.EN_2_Rhizo	PHE.EN_3_Bulk	PHE.EN_3_Rhizo	PHE.EN_4_Bulk	PHE.EN_4_Rhizo	PHE.EN_5_Bulk	PHE.EN_5_Rhizo	PHE.EN_6_Bulk	PHE.EN_6_Rhizo	PHE.E_1_Bulk	PHE.E_1_Rhizo	PHE.E_2_Bulk	PHE.E_2_Rhizo	PHE.E_3_Bulk	PHE.E_3_Rhizo	PHE.E_4_Bulk	PHE.E_4_Rhizo	PHE.E_5_Bulk	PHE.E_5_Rhizo	PHE.E_6_Bulk	PHE.E_6_Rhizo	PHE.N_1_Bulk	PHE.N_1_Rhizo	PHE.N_2_Bulk	PHE.N_2_Rhizo	PHE.N_3_Bulk	PHE.N_3_Rhizo	PHE.N_4_Bulk	PHE.N_4_Rhizo	PHE.N_5_Bulk	PHE.N_5_Rhizo	PHE.N_6_Bulk	PHE.N_6_Rhizo
k__Fungi;Other	0.19012145749	0.156281376518	0.00781781376518	0.109362348178	0.0263522267206	0.083995951417	0.00832388663968	0.00526518218623	0.0	0.00131376518219	0.00224696356275	0.0109777327935	0.0627267206478	0.132192307692	0.0154655870445	0.0443360323887	0.00551619433198	0.106931174089	0.000708502024291	0.00471052631579	0.00175708502024	0.00516599190283	0.00467408906883	0.167269230769	0.157423076923	0.160682186235	0.0	0.0496315789474	0.0	0.00541902834008	0.00726315789474	0.020979757085	0.000623481781377	0.00287854251012	0.00175708502024	0.000761133603239	0.0198076923077	0.157939271255	0.0148441295547	0.0138299595142	0.00565182186235	0.0553643724696	0.00164170040486	0.0142246963563	0.00910931174089	0.0118218623482	0.000736842105263	0.0582044534413	0.0156700404858	0.0552044534413	0.00438866396761	0.0191619433198	0.0198846153846	0.00388461538462	0.000210526315789	0.0150931174089	0.000238866396761	0.0426052631579	0.0011983805668	0.0044008097166	0.120961538462	0.0759412955466	0.0448825910931	0.0025991902834	0.0307753036437	0.00292510121457	0.0125971659919	0.00723684210526	0.00636639676113	0.000376518218623	0.00324898785425	0.00726923076923	0.0262429149798	0.011463562753	0.061532388664	0.0	0.0267165991903	0.0126072874494	0.204271255061	0.00226518218623	0.00136842105263	0.0261396761134	0.0319089068826	0.0376518218623	0.00963157894737	0.13433805668	0.309111336032	0.00208704453441	0.023524291498	0.0179615384615	0.0327064777328	0.000554655870445	0.00241295546559	0.0183846153846	0.202995951417	0.0852753036437	0.119165991903	0.0407591093117	0.173684210526	0.000283400809717	0.0842753036437	0.000151821862348	0.00338461538462	0.0	0.0176477732794	0.00195344129555	0.00486032388664	0.00307692307692	0.0443704453441	0.0	0.00725506072874	0.00186032388664	0.00417611336032	0.00558906882591	0.0187955465587	0.00326720647773	0.0154109311741	0.0	0.00434817813765	0.0783603238866	0.0388036437247	0.00019028340081	0.00637246963563	0.0	0.00815789473684	0.000196356275304	0.0117894736842	0.000386639676113	0.00818218623482	0.00118825910931	0.038995951417	0.0563198380567	0.0208684210526	0.0	0.00544534412955	0.00281781376518	0.00585020242915	0.0	0.00643522267206	0.000321862348178	0.00327125506073	0.00102834008097	0.00732186234818	0.00252024291498	0.0519089068826	0.00771255060729	0.0222226720648	0.00158502024291	0.0171619433198	0.00302834008097	0.00371255060729	0.000665991902834	0.0029048582996	0.00036032388664	0.00573076923077	0.0480506072874	0.0495991902834	0.00358502024291	0.00551417004049	0.000115384615385	0.0264736842105	0.0	0.00306882591093	0.000504048582996	0.00562348178138	9.91902834008e-05	0.00288259109312	0.0104979757085	0.0405829959514	0.0018967611336	0.0242935222672	0.002995951417	0.0307712550607	0.0002004048583	0.00277327935223	0.0	0.00723076923077	0.00235627530364	0.00627125506073	0.136670040486	0.0256093117409	0.0111497975709	0.0561700404858	0.0323906882591	0.145317813765	0.00212753036437	0.00802631578947	0.0	0.00606680161943	0.0	0.00298380566802
k__Fungi;p__Ascomycota	0.655441295547	0.814127530364	0.9514048583	0.766443319838	0.825372469636	0.7835	0.941356275304	0.987937246964	0.994151821862	0.990417004049	0.98313562753	0.976512145749	0.587665991903	0.696560728745	0.957182186235	0.930512145749	0.93721659919	0.805004048583	0.996200404858	0.982220647773	0.978967611336	0.963665991903	0.774983805668	0.65913562753	0.576408906883	0.632943319838	0.99005465587	0.913811740891	0.983315789474	0.975200404858	0.792076923077	0.887548582996	0.989447368421	0.987761133603	0.957046558704	0.979929149798	0.975030364372	0.795344129555	0.977356275304	0.977623481781	0.991951417004	0.921900809717	0.986117408907	0.960327935223	0.979417004049	0.948319838057	0.976103238866	0.920530364372	0.919587044534	0.931115384615	0.940340080972	0.97563562753	0.954340080972	0.97578340081	0.996285425101	0.960755060729	0.920552631579	0.87108097166	0.965018218623	0.990777327935	0.652028340081	0.825591093117	0.870141700405	0.990489878543	0.954036437247	0.977657894737	0.952943319838	0.965793522267	0.976056680162	0.976884615385	0.994516194332	0.969779352227	0.959736842105	0.938091093117	0.868127530364	0.991532388664	0.813279352227	0.580319838057	0.741751012146	0.994267206478	0.987082995951	0.450024291498	0.897510121457	0.603651821862	0.983493927126	0.69520242915	0.488133603239	0.984479757085	0.922973684211	0.755497975709	0.883085020243	0.988931174089	0.991834008097	0.144461538462	0.627506072874	0.885190283401	0.842914979757	0.879611336032	0.779451417004	0.981953441296	0.8565	0.976455465587	0.992544534413	0.996680161943	0.971271255061	0.996963562753	0.990560728745	0.975552631579	0.919587044534	0.999637651822	0.986012145749	0.959570850202	0.987852226721	0.953329959514	0.975856275304	0.963591093117	0.878619433198	0.988406882591	0.979700404858	0.911398785425	0.953848178138	0.998036437247	0.815443319838	0.97363562753	0.98775708502	0.998493927126	0.975647773279	0.984933198381	0.755372469636	0.934761133603	0.696599190283	0.933129554656	0.970951417004	0.989732793522	0.988382591093	0.994447368421	0.98812145749	0.930421052632	0.987769230769	0.993829959514	0.98383805668	0.986734817814	0.966487854251	0.991141700405	0.884026315789	0.989769230769	0.960182186235	0.988279352227	0.973665991903	0.978273279352	0.994694331984	0.987688259109	0.972546558704	0.990722672065	0.964943319838	0.921947368421	0.921615384615	0.983342105263	0.926987854251	0.997836032389	0.943917004049	0.952196356275	0.972386639676	0.98305465587	0.987759109312	0.998886639676	0.982105263158	0.980912955466	0.947151821862	0.99612145749	0.9590951417	0.913493927126	0.808708502024	0.999457489879	0.986412955466	0.995026315789	0.965483805668	0.993819838057	0.979811740891	0.824708502024	0.930668016194	0.985228744939	0.90508097166	0.81036437247	0.771315789474	0.993261133603	0.984074898785	0.997510121457	0.971139676113	0.995265182186	0.985016194332
k__Fungi;p__Basidiomycota	0.130844129555	0.0113137651822	0.0159412955466	0.0332955465587	0.118603238866	0.0249736842105	0.0503198380567	0.00337854251012	0.00497773279352	0.0042024291498	0.0146174089069	0.00532388663968	0.288082995951	0.0422975708502	0.0209109311741	0.0120688259109	0.0406214574899	0.0443340080972	0.00309109311741	0.0102692307692	0.0159392712551	0.015491902834	0.21541902834	0.0761275303644	0.0406842105263	0.0502975708502	0.00961538461538	0.025455465587	0.0166842105263	0.00932995951417	0.198232793522	0.068463562753	0.00939068825911	0.00155263157895	0.040048582996	0.0172348178138	0.00308502024291	0.0286761133603	0.00749190283401	0.00381781376518	0.0023967611336	0.0124129554656	0.00593117408907	0.00637246963563	0.00427530364372	0.0262105263158	0.0221275303644	0.00877327935223	0.0522631578947	0.00626315789474	0.0538198380567	0.00334008097166	0.0185688259109	0.0174574898785	0.00322874493927	0.0188967611336	0.0762085020243	0.00338259109312	0.031508097166	0.00344534412955	0.204344129555	0.0624534412955	0.0158461538462	0.00465991902834	0.00717408906883	0.0194170040486	0.0198684210526	0.00482186234818	0.0158502024291	0.0217874493927	0.00134210526316	0.0211315789474	0.00786234817814	0.0485222672065	0.0353157894737	0.00846761133603	0.142141700405	0.405439271255	0.0288623481781	0.00346761133603	0.00301417004049	0.522200404858	0.0290384615385	0.34136437247	0.00306072874494	0.129623481781	0.0486153846154	0.0126376518219	0.0483299595142	0.219313765182	0.0477267206478	0.0103198380567	0.00430971659919	0.713534412955	0.124184210526	0.013455465587	0.0132935222672	0.0424453441296	0.0139939271255	0.0154129554656	0.0391943319838	0.0231821862348	0.00262550607287	0.00331983805668	0.00385222672065	0.000933198380567	0.00344736842105	0.0132753036437	0.0228886639676	0.000362348178138	0.00522267206478	0.0385688259109	0.00473684210526	0.0403421052632	0.00388866396761	0.0183481781377	0.0541558704453	0.0115931174089	0.0120141700405	0.0102408906883	0.00444736842105	0.00177327935223	0.176631578947	0.0261578947368	0.00353846153846	0.00130971659919	0.00811538461538	0.0146801619433	0.231991902834	0.0629534412955	0.0517793522267	0.00244939271255	0.0066032388664	0.0102672064777	0.00406275303644	0.00264574898785	0.00531983805668	0.0695789473684	0.00391902834008	0.00517206477733	0.00808502024291	0.0117631578947	0.0192408906883	0.00625303643725	0.0518441295547	0.000991902834008	0.0116740890688	0.00967004048583	0.00737449392713	0.0186983805668	0.00128340080972	0.00422672064777	0.0149170040486	0.00771862348178	0.0264615384615	0.010020242915	0.0187712550607	0.00589068825911	0.00663360323887	0.00204858299595	0.0242024291498	0.0474453441296	0.0220020242915	0.0164412955466	0.00429352226721	0.00101417004049	0.0146417004049	0.00826720647773	0.00885829959514	0.00127732793522	0.0123906882591	0.0818643724696	0.149295546559	0.000342105263158	0.00934210526316	0.00497368421053	0.00665384615385	0.00382388663968	0.00711133603239	0.0362813765182	0.0142004048583	0.0011032388664	0.0188319838057	0.148522267206	0.060044534413	0.00430971659919	0.00475708502024	0.00248987854251	0.019008097166	0.00446761133603	0.00976720647773
k__Fungi;p__Blastocladiomycota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.211993927126	0.0382955465587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000949392712551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00123481781377	0.00833198380567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000408906882591	0.174093117409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0132429149798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0242793522267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Calcarisporiellomycota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000184210526316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Chytridiomycota	0.000625506072874	0.00480769230769	0.00505263157895	0.0320728744939	0.0	0.000398785425101	0.0	0.000643724696356	0.0	0.000856275303644	0.0	0.00238259109312	0.0474008097166	0.00824898785425	0.00613360323887	0.00116599190283	0.00139473684211	0.00303643724696	0.0	0.00108299595142	0.00333603238866	0.00630769230769	0.00467206477733	0.0480344129555	0.000655870445344	0.0424331983806	0.0	0.00424089068826	0.0	0.00112753036437	0.000321862348178	0.0	0.00012955465587	0.00398987854251	0.0	0.0	0.00172267206478	0.00247773279352	0.000307692307692	0.00114574898785	0.0	0.000186234817814	0.0	0.0	0.00367611336032	0.00122672064777	0.0	0.00682793522267	0.00868016194332	0.00164372469636	0.00117611336032	0.0	0.0	0.000854251012146	0.0	0.000344129554656	0.000234817813765	0.0351680161943	0.0	0.000742914979757	0.00667206477733	0.0262591093117	0.0129251012146	0.0	0.00164979757085	0.0	0.00876315789474	0.0049008097166	9.71659919028e-05	0.000951417004049	0.000338056680162	0.000481781376518	0.00477732793522	0.000921052631579	0.0117449392713	0.0	0.00777530364372	0.00163360323887	0.00223886639676	0.0	0.000163967611336	0.00163562753036	0.02495951417	0.00102429149798	0.000325910931174	0.00171052631579	0.0678441295547	0.000101214574899	0.000186234817814	0.00296356275304	0.0291659919028	0.0	0.0	0.123619433198	0.0283259109312	0.00276315789474	0.00294331983806	0.0196558704453	0.00287449392713	0.000127530364372	0.000910931174089	0.0	0.000678137651822	0.0	0.00465587044534	0.00014979757085	0.000732793522267	0.000303643724696	0.00273684210526	0.0	0.0	0.0	0.00177125506073	0.000297570850202	9.10931174089e-05	0.00180566801619	0.016504048583	0.0	0.00202834008097	0.0	0.000793522267206	0.0	0.00045951417004	0.0	0.000125506072874	0.0	0.00238259109312	0.0	0.000684210526316	0.0	0.0244473684211	0.0071983805668	0.0	0.0	0.000858299595142	0.0	0.000433198380567	0.0	0.0	0.0	0.000682186234818	0.0	0.0	0.0	0.000937246963563	0.00130769230769	0.00323076923077	0.0	0.000257085020243	0.0	0.000163967611336	0.00188259109312	0.000502024291498	0.0	0.0	0.00491295546559	0.00614170040486	0.00035020242915	0.000194331983806	0.0	0.000787449392713	0.0	0.00165182186235	0.0	0.000771255060729	0.0	0.000234817813765	0.0	0.000961538461538	0.000704453441296	0.00135829959514	0.000336032388664	0.00101214574899	0.0	0.000394736842105	0.0	0.0030951417004	0.0	0.000585020242915	0.000627530364372	0.000117408906883	0.00163967611336	0.00224089068826	0.00131376518219	0.00278947368421	0.0	0.000127530364372	0.0	0.00197368421053	0.000141700404858	0.00129352226721
k__Fungi;p__Entomophthoromycota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000844129554656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Glomeromycota	0.0	0.0	0.000366396761134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00132995951417	0.0	0.000111336032389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002004048583	0.0	0.0	0.0	0.0	0.0	9.31174089069e-05	0.0	0.0	0.0	0.000481781376518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000463562753036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000143724696356	0.0	0.0	0.0	0.000376518218623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Kickxellomycota	0.0	0.00275910931174	0.0139736842105	0.0132429149798	0.0	0.0026012145749	0.0	0.000384615384615	0.0	0.000105263157895	0.0	0.000945344129555	0.0	0.00531578947368	0.0	0.000617408906883	0.0	0.00760931174089	0.0	0.000342105263158	0.0	2.83400809717e-05	0.0	0.023451417004	0.00438461538462	0.0477044534413	0.0	0.00336437246964	0.0	0.0	0.0	0.00085020242915	0.0	0.00087044534413	0.0	0.000955465587045	0.0	0.00414777327935	0.0	0.000485829959514	0.0	0.000358299595142	0.0	0.0	0.000218623481781	0.0	0.0	0.000696356275304	0.000153846153846	0.000921052631579	0.0	0.000508097165992	0.0	8.0971659919e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0007004048583	0.000508097165992	0.0015951417004	0.0	0.0	0.0	0.000238866396761	0.0	0.0	0.0	0.000554655870445	0.000275303643725	0.0	0.000202429149798	0.00264979757085	0.0	0.000376518218623	0.0	0.0074028340081	0.0	0.000720647773279	0.0	0.00192914979757	0.000817813765182	0.00103441295547	0.0	0.00428542510121	0.000117408906883	0.000127530364372	0.0	0.00158704453441	0.0	0.000437246963563	0.0	0.00101619433198	0.00126518218623	0.00111740890688	0.0106417004049	0.00758906882591	0.0	0.00139473684211	0.0	0.000378542510121	0.0	0.000923076923077	0.0	0.0	0.000251012145749	0.000740890688259	0.0	0.0	0.0	0.00067004048583	0.0	0.0	0.0	0.000811740890688	0.0	0.00114777327935	0.0	0.00106882591093	0.0	0.000255060728745	0.0	0.0	0.0	0.00113765182186	0.0	0.000283400809717	0.0	0.00150607287449	0.0	0.000220647773279	0.0	0.000220647773279	8.90688259109e-05	0.0	0.0	0.000348178137652	0.0	0.000603238866397	0.0	6.27530364372e-05	0.0	0.00341295546559	0.0	0.00131376518219	0.0	0.00127530364372	0.0	0.0	0.0	4.65587044534e-05	0.0	0.00118623481781	0.0	0.00107085020243	0.000137651821862	0.0	0.0	0.00214372469636	0.0	0.0	0.0	0.000244939271255	0.0	0.0	0.0	0.00112348178138	0.0	0.00116801619433	0.0	0.000983805668016	0.0	0.0	0.0	0.0	0.0	0.0055020242915	0.000925101214575	0.001004048583	0.000878542510121	0.00337651821862	0.0	0.00526315789474	0.0	5.87044534413e-05	0.0	6.68016194332e-05	0.0	0.0
k__Fungi;p__Monoblepharomycota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000607287449393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
