Taxon	0_0_1_Bulk	0_0_1_Rhizo	0_0_2_Bulk	0_0_2_Rhizo	0_0_3_Bulk	0_0_3_Rhizo	0_0_4_Bulk	0_0_4_Rhizo	0_0_5_Bulk	0_0_5_Rhizo	0_0_6_Bulk	0_0_6_Rhizo	0_CEN_1_Bulk	0_CEN_1_Rhizo	0_CEN_2_Bulk	0_CEN_2_Rhizo	0_CEN_3_Bulk	0_CEN_3_Rhizo	0_CEN_4_Bulk	0_CEN_4_Rhizo	0_CEN_5_Bulk	0_CEN_5_Rhizo	0_CEN_6_Bulk	0_CEN_6_Rhizo	0_CE_1_Bulk	0_CE_1_Rhizo	0_CE_2_Bulk	0_CE_2_Rhizo	0_CE_3_Bulk	0_CE_3_Rhizo	0_CE_4_Bulk	0_CE_4_Rhizo	0_CE_5_Bulk	0_CE_5_Rhizo	0_CE_6_Bulk	0_CE_6_Rhizo	0_CN_1_Bulk	0_CN_1_Rhizo	0_CN_2_Bulk	0_CN_2_Rhizo	0_CN_3_Bulk	0_CN_3_Rhizo	0_CN_4_Bulk	0_CN_4_Rhizo	0_CN_5_Bulk	0_CN_5_Rhizo	0_CN_6_Bulk	0_CN_6_Rhizo	0_C_1_Bulk	0_C_1_Rhizo	0_C_2_Bulk	0_C_2_Rhizo	0_C_3_Bulk	0_C_3_Rhizo	0_C_4_Bulk	0_C_4_Rhizo	0_C_5_Bulk	0_C_5_Rhizo	0_C_6_Bulk	0_C_6_Rhizo	0_EN_1_Bulk	0_EN_1_Rhizo	0_EN_2_Bulk	0_EN_2_Rhizo	0_EN_3_Bulk	0_EN_3_Rhizo	0_EN_4_Bulk	0_EN_4_Rhizo	0_EN_5_Bulk	0_EN_5_Rhizo	0_EN_6_Bulk	0_EN_6_Rhizo	0_E_1_Bulk	0_E_1_Rhizo	0_E_2_Bulk	0_E_2_Rhizo	0_E_3_Bulk	0_E_3_Rhizo	0_E_4_Bulk	0_E_4_Rhizo	0_E_5_Bulk	0_E_5_Rhizo	0_E_6_Bulk	0_E_6_Rhizo	0_N_1_Bulk	0_N_1_Rhizo	0_N_2_Bulk	0_N_2_Rhizo	0_N_3_Bulk	0_N_3_Rhizo	0_N_4_Bulk	0_N_4_Rhizo	0_N_5_Bulk	0_N_5_Rhizo	0_N_6_Bulk	0_N_6_Rhizo	PHE_0_1_Bulk	PHE_0_1_Rhizo	PHE_0_2_Bulk	PHE_0_2_Rhizo	PHE_0_3_Bulk	PHE_0_3_Rhizo	PHE_0_4_Bulk	PHE_0_4_Rhizo	PHE_0_5_Bulk	PHE_0_5_Rhizo	PHE_0_6_Bulk	PHE_0_6_Rhizo	PHE_CEN_1_Bulk	PHE_CEN_1_Rhizo	PHE_CEN_2_Bulk	PHE_CEN_2_Rhizo	PHE_CEN_3_Bulk	PHE_CEN_3_Rhizo	PHE_CEN_4_Bulk	PHE_CEN_5_Bulk	PHE_CEN_5_Rhizo	PHE_CEN_6_Bulk	PHE_CEN_6_Rhizo	PHE_CE_1_Bulk	PHE_CE_1_Rhizo	PHE_CE_2_Bulk	PHE_CE_2_Rhizo	PHE_CE_3_Bulk	PHE_CE_3_Rhizo	PHE_CE_4_Bulk	PHE_CE_4_Rhizo	PHE_CE_5_Bulk	PHE_CE_5_Rhizo	PHE_CE_6_Bulk	PHE_CE_6_Rhizo	PHE_CN_1_Bulk	PHE_CN_1_Rhizo	PHE_CN_2_Bulk	PHE_CN_2_Rhizo	PHE_CN_3_Bulk	PHE_CN_3_Rhizo	PHE_CN_4_Bulk	PHE_CN_4_Rhizo	PHE_CN_5_Bulk	PHE_CN_5_Rhizo	PHE_CN_6_Bulk	PHE_CN_6_Rhizo	PHE_C_1_Bulk	PHE_C_1_Rhizo	PHE_C_2_Bulk	PHE_C_2_Rhizo	PHE_C_3_Bulk	PHE_C_3_Rhizo	PHE_C_4_Bulk	PHE_C_4_Rhizo	PHE_C_5_Bulk	PHE_C_5_Rhizo	PHE_C_6_Bulk	PHE_C_6_Rhizo	PHE_EN_1_Bulk	PHE_EN_1_Rhizo	PHE_EN_2_Bulk	PHE_EN_2_Rhizo	PHE_EN_3_Bulk	PHE_EN_3_Rhizo	PHE_EN_4_Bulk	PHE_EN_4_Rhizo	PHE_EN_5_Bulk	PHE_EN_5_Rhizo	PHE_EN_6_Bulk	PHE_EN_6_Rhizo	PHE_E_1_Bulk	PHE_E_1_Rhizo	PHE_E_2_Bulk	PHE_E_2_Rhizo	PHE_E_3_Bulk	PHE_E_3_Rhizo	PHE_E_4_Bulk	PHE_E_4_Rhizo	PHE_E_5_Bulk	PHE_E_5_Rhizo	PHE_E_6_Bulk	PHE_E_6_Rhizo	PHE_N_1_Bulk	PHE_N_1_Rhizo	PHE_N_2_Bulk	PHE_N_2_Rhizo	PHE_N_3_Bulk	PHE_N_3_Rhizo	PHE_N_4_Bulk	PHE_N_4_Rhizo	PHE_N_5_Bulk	PHE_N_5_Rhizo	PHE_N_6_Bulk	PHE_N_6_Rhizo
k__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__BathyarchaeiaCL;f__BathyarchaeiaCL;g__BathyarchaeiaCL	0.000137295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000143443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168033	0	0	0	0	0	0	0.00017623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000413934	0	0	0	0	0	0	0	0.000104508	0.000221311	0	0	0	0.000137295	0	0.000411885	0	0	0	0	0	0	0	0	0	0	0.000268443	0	0	0	0	0	0	0	0	0	0	0.000204918	0	0	0	0	0.000239754	0	0.000237705	0	0	0	0	0	0	0.000184426	0	0	0	0	0	0	0.000227459	0	0.000211066	0	0	0.000163934	0	0	9.02E-05	0	0	0	0.000202869	0	0.000202869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000184426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000252049	0	0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus Nitrosotenuis	0	0	0	0	0	0	0	0	0	0	0	6.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000196721	0	0	0	0.000211066	0	0	0	0	0	0	0.000252049	0	0	0	0	0	0	0	0	0.00017623	0	0	0	0	0	0.00017418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000143443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165984	0.00039959	0	0	0	0	0	0.000141393	9.02E-05	0	0	0	0	0	0	0.000102459	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__NitrosopumilalesOR;g__NitrosopumilalesOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000268443	0	0	0	0	0.00019877	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;Other;Other	0	0	0	0.002395492	0	0	0	0	0	0	0	0	0	0	0	0.000631148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001463115	0	0	0.000864754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000897541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrocosmicus	0	0	0.001114754	0.002819672	0.001702869	0.000590164	0	0.000473361	0.000581967	0	0.000594262	0.00067623	0	0.000436475	0.000741803	0.000553279	0.001036885	0	0.001139344	0.000653689	0.000922131	0.000788934	0	0.00107377	0.001905738	0.000745902	0.002805328	0.000780738	0	0.000807377	0.000614754	0	0.000834016	0	0.000768443	0.000811475	0	0.002045082	0.000803279	0.000516393	0.001372951	0	0	0.000612705	0.00069877	0.00057377	0.001114754	0.000665984	0	0.001122951	0	0.002081967	0	0.001114754	0	0	0.000842213	0.000413934	0.000848361	0.000864754	0.000452869	0.000711066	0.000793033	0.00085041	0.003625	0.001303279	0.00077459	0	0.000461066	0.000276639	0	0	0	0	0.001065574	0.001286885	0	0.001018443	0	0.000510246	0.000834016	0.000770492	0.00039959	0	0.001512295	0	0.001106557	0.001014344	0.002012295	0.000780738	0	0.000483607	0	0	0.000598361	0.000965164	0	0.001045082	0	0	0.001641393	0.000553279	0.000821721	0.000971311	0.001282787	0.001317623	0	0.000788934	0.000772541	0	0.00355123	0	0.001651639	0.000868852	0.000717213	0	0.001440574	0.002495902	0.000209016	0	0.00070082	0.000645492	0.001	0	0.000864754	0.001	0.001268443	0.000819672	0.001608607	0.000897541	0.000485656	0.002114754	0.000629098	0	0.000438525	0.00120082	0.001358607	0	0.001983607	0	0.001231557	0.001047131	0.001055328	0.001188525	0.000754098	0	0.001803279	0	0	0.001604508	0.001022541	0.005407787	0.001235656	0	0.001637295	0.001356557	0.001096311	0.001020492	0.000766393	0	0.000932377	0.000502049	0.001084016	0.001555328	0.002018443	0	0.000379098	0.001151639	0	0	0.001643443	0.001129098	0.001627049	0.000809426	0.000817623	0.001653689	0.001713115	0.000946721	0.001743852	0.001268443	0.000922131	0.000768443	0	0.00139959	0.001584016	0.000762295	0	0	0.001137295	0.001452869	0.000784836
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0	0	0	0	0	0	0	0	0	0	0	0.000370902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002071721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000284836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000235656	0.000305328	0	0.000485656	0	0	0	0	0	0	0	0	0	0.000614754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000643443	0	0	0	0	0	0	0	0	0	0	0.000235656	0	0	0	0	0.000131148	0	0	0	0	0	0	0	0	0	0	0	0.000327869	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__NitrososphaeralesOR;g__NitrososphaeralesOR	0.007196721	0.007592213	0.003965164	0.01844877	0.003493852	0.003331967	0	0.002233607	0.003430328	0.001581967	0.000959016	0.002852459	0.001754098	0.00332377	0.004204918	0.004719262	0.001344262	0.001969262	0.00197541	0.002790984	0.004106557	0.001370902	0.00125	0.003477459	0.00342623	0.001954918	0.005309426	0.003719262	0.003518443	0.001961066	0.001877049	0.001688525	0.002579918	0.002014344	0.001752049	0.000526639	0.002375	0.003184426	0.001229508	0.002213115	0.000741803	0.004098361	0.002856557	0.006163934	0	0.00175	0.000682377	0.005260246	0.000723361	0.001295082	0.001237705	0.004688525	0.003645492	0.001065574	0.012096311	0.002854508	0.000532787	0.003772541	0.00180123	0.001616803	0.004588115	0.006360656	0.00257582	0.002684426	0.005239754	0.001877049	0	0.003459016	0	0.000770492	0.003329918	0.002893443	0.0035	0.001641393	0.002397541	0.004106557	0.000290984	0.005098361	0	0.001401639	0.000743852	0.002518443	0.005545082	0.00482582	0.004098361	0.003045082	0.003827869	0.007481557	0.002114754	0.002840164	0.003889344	0.001135246	0.00235041	0.003241803	0.006428279	0.003743852	0.004647541	0.004434426	0.001891393	0	0.003875	0.006688525	0.002122951	0.002684426	0.005047131	0.007069672	0.003467213	0.00210041	0.002096311	0.002717213	0.020502049	0.000762295	0.00242623	0.004012295	0.00264959	0.013137295	0.00767418	0.010485656	0	0.003393443	0.00064959	0.003317623	0.00495082	0.002940574	0.002887295	0.000854508	0.004821721	0.002788934	0.00122541	0.005352459	0.002571721	0	0.00445082	0.002311475	0.003895492	0	0.004733607	0.002463115	0.004737705	0.020352459	0.005881148	0.006971311	0.004040984	0.012688525	0.006245902	0	0.005829918	0.002946721	0.00120082	0.011344262	0.003881148	0.036213115	0.006420082	0.001319672	0.011122951	0.007528689	0.006309426	0.006614754	0.001381148	0.002528689	0.004752049	0.002655738	0.002219262	0.00627459	0.009983607	0.003786885	0.002692623	0.005956967	0.004784836	0	0.005418033	0.004071721	0.018692623	0.009768443	0.001487705	0.002854508	0.00295082	0.00392418	0.008143443	0.005229508	0.002512295	0.003219262	0.00310041	0.010704918	0.003534836	0.000508197	0.004190574	0.002969262	0.006540984	0.007284836	0.000571721
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000190574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00032377	0	0	0	0	0	0	0	0	0.000247951	0	0	0	0	0	0	0	0	0.000979508	7.79E-05	0	0	0	0	0.000188525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000155738	0	0	0	0	0	0	0	0	0.000114754	0	0	0	0.000561475	0	0	0	0	0	0	0.000319672	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106557	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000161885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteriaceae;g__Methanothermobacter	0	0	0	0	0.000405738	0	0	0	0	0	0	0	0	0	0	0	0	5.74E-05	0	0	0	0	0	0	0.000346311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165984	0	0	0.000127049	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000129098	0	0	0	0.000172131	0.000581967	0	0	0	0.000247951	0	0	0	0.000172131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000266393	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000641393	0	0	0	0	0.000237705	0	0	0	0	0	0	0	0.000110656	0	0.000784836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020082	0	0	0	0	0	0	0	0	0	0	0	0	0.000303279	0
k__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Methanocella	0	0	0	0.000110656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.20E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
